# 02 triage tags (vanillahunt link 02, smr-bugfixpack-b6, 2026-09-10) — working copy of 01's PRESETS.tsv; ⛔ 01's file is untouched, this file is the parent's; regenerate from the parent's scratch scripts, never hand-edit rows.
# presetdiff.py v1 (2026-09-10) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python presetdiff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# SCOPE: the `generated` bucket only — Data/, Lua/BuildingTemplate/, Lua/XDef/, Lua/ClassDefs/. DLC/ excluded.
# PRESETS: 1.0.7=14409  1.1.0=14986. Identity is `class::id::group` (how the GAME names a preset), with id-less presets keyed `class::file#ordinal`. Matched presets whose FILE moved: 0. Ambiguous ids needing a disambiguator: 1.0.7=1 1.1.0=0.
# ⭐ ROUTED TO 02, NOT READ HERE: the tech registry exists TWICE in 1.1.0 — 264 `TechPreset` in 1.0.7 became 274 `TechPreset` PLUS 441 `Tech`, and 258 of the 1.0.7 ids appear under both classes in the new tree. Mechanical count only; what it means is a reader's question.
# ⛔ REORDER IS NOT A ROW, BY CONSTRUCTION: rows are keyed by key PATH, so re-emitting a preset's keys in another order with equal values yields nothing. 0 presets are in exactly that state — COUNTED here so that `no rows` and `never looked` do not look alike.
# ROWS BY CHURN CLASS: COMMENT=1  REINDEX=10462  REINDEX-SWAP=1924  T-ID=22  added-preset=1471  none=22738  removed-preset=894   ⭐ `none` is the READABLE PILE — the rows 04's registry agents actually read.
# ⭐ THE GENERATED-LUA TWINS, so 04 can confirm they carry nothing extra: 1.1.0 files parsed per registry — Data=2191, Lua/BuildingTemplate=292, Lua/ClassDefs=7, Lua/XDef=426 | 1.0.7 — Data=2143, Lua/BuildingTemplate=288, Lua/ClassDefs=9, Lua/XDef=400
# ⚠️ CHURN CLASSES ARE CLAIMS. Each is a rule asserting a row is uninteresting; `python tools/presetdiff.py --sample <class>` prints rows so one can be falsified. A single row where a rule hid a real value change VOIDS that class.
# 02 COLUMNS: prid = P + 1-based data-row index of PRESETS.tsv. system = preset:<class>; link = 03 (dlc-adjacent) | 04-E (the registry agent) | NOT-READ(churn) for REINDEX / T-ID / COMMENT (rule-classed and sampled by 01, unread here — TRIAGE.md §4). ⭐ READ by a registry agent: `none` + `REINDEX-SWAP` (01: must be read where order is semantic) + `added-preset` + `removed-preset` (real content, not churn).
# 02 DLC TAG on presets: T1 literal on class:id + key + both values; T2 narrowed on id + key + values ONLY — never on the class name (a registry is not a mention). Literal matching of all 25 terms would tag 8,209 readable rows (all of TechPreset and LawDef by class name).
# 02 FIELD-REPORT TAGS (README §2b), column `fr`: FR-1(c) = `none`/`added-preset` rows of ParticleSystemPreset, LightmodelPreset, ActionFX*, *Entity* registries (assets first spawned at new game); FR-2 = id/key/value naming DeepScan / UndergroundDeepScanning / Deep* resources / depth_layer.
prid	file	class	id	key	value107	value110	churn-class	flags	system	link	dlc	dlc_terms	dlc_literal	fr
P00019	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0-Y7cy-p	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00020	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0HWGdl3t	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00021	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0HWGdl3t	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00022	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0HWGdl3t	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00023	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0HWGdl3t	Environment	"Surface"	set("Surface")	none		preset:ActionFXParticles	04-E				FR-1(c)
P00024	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0MvwwAUM	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00025	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0NTsHhJm	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00026	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0NTsHhJm	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00027	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0gsAtupI	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00028	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0ldS1RUy	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00029	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_101iwqJz	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00030	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_101iwqJz	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00031	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_18OU-IoN	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00032	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_18OU-IoN	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00033	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1IR8OgDy	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00034	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1IR8OgDy	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00035	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1K6qhxtL	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00036	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1NFfv7M1	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00037	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1jjnYVb2	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00038	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1jjnYVb2	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00039	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_23FtEmFg	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00040	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_23FtEmFg	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00041	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_23FtEmFg	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00042	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_23FtEmFg	Environment	"Surface"	set("Surface")	none		preset:ActionFXParticles	04-E				FR-1(c)
P00043	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_27jnYJc-	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00044	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2H8OethF	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00045	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2H8OethF	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00046	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2H8OethF	DetailLevel	100	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00047	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2H8OethF	Environment	"Asteroid"	set("Asteroid")	none		preset:ActionFXParticles	04-E				FR-1(c)
P00048	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2Kllog5H	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00049	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2Kllog5H	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00050	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2LmrDzQH	<preset>	<removed>		removed-preset		preset:ActionFXParticles	04-E				
P00051	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2VBCTnzX	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00052	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2YTe9U_8	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00053	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2tPGWt0n	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00054	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2tPGWt0n	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00055	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2yg2dgw5	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00056	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3Du9TZ5G	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00057	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3IVf3T1D	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00058	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3KC09bwV	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00059	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3KC09bwV	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00060	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3KC09bwV	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00061	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3KC09bwV	GameTime	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00062	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3XNL6AJy	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00063	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3XNL6AJy	Environment	"Surface"	set("Surface")	none		preset:ActionFXParticles	04-E				FR-1(c)
P00064	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3dAreSb0	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00065	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_3snL1pEp	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00066	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4-CoOScS	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00067	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4B_H9DG1	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00068	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4D32dej0	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00069	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4D32dej0	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00070	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4N4OIWf7	<preset>		<added>	added-preset		preset:ActionFXParticles	04-E				FR-1(c)
P00071	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4Pa_avSI	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00072	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4R11K3YU	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00073	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4R11K3YU	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00074	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4R11K3YU	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00075	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4aKjtWcv	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00076	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4fnzq4bT	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00077	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4fnzq4bT	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00078	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4fv6QhYz	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00079	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_4fv6QhYz	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00080	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_5oE3i40J	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00081	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_61ls7UMJ	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00082	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_63NmtzgJ	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00083	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_6E08Z1HV	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00084	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_6W6wzbEF	DynamicName1	<absent>	"AnimatedTrajectory"	none		preset:ActionFXParticles	04-E				FR-1(c)
P00085	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_6W6wzbEF	DynamicName2	<absent>	"OverrideAnimRadius"	none		preset:ActionFXParticles	04-E				FR-1(c)
P00086	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_6W6wzbEF	DynamicName3	<absent>	"OverrideAnimRadiusValue"	none		preset:ActionFXParticles	04-E				FR-1(c)
P00087	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_6mgVyp1p	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00088	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_6vuVGafA	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00089	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7M_5hbvM	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00090	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7OahZYkS	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00091	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7OahZYkS	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00092	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7SFkKSV8	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00093	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7TbkApfa	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00094	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7TbkApfa	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00095	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7bAzL9J5	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00096	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7bAzL9J5	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00097	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7gMAUkvx	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00098	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7itI-ccw	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00099	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7pCzw7hE	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00100	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7rfGj8V1	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00101	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7zU7uJ9i	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00102	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_7zU7uJ9i	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00103	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_83phg2XF	<preset>	<removed>		removed-preset		preset:ActionFXParticles	04-E				
P00104	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_8EYaOYDL	<preset>	<removed>		removed-preset		preset:ActionFXParticles	04-E				
P00105	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_8VCtFpKK	<preset>	<removed>		removed-preset		preset:ActionFXParticles	04-E				
P00106	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_8Vb4isUj	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00107	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_8b5bAIrc	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00108	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_8b5bAIrc	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00109	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_90vF62NH	<preset>	<removed>		removed-preset		preset:ActionFXParticles	04-E				
P00110	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_9TFFvZ_6	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00111	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_9XUafbyM	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00112	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_9kEOn3iP	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00113	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_9kEOn3iP	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00114	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_9vcF_UHI	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00115	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_AOSLT87w	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00116	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_AbBAoR4E	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00117	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_AbBAoR4E	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00118	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_AbBAoR4E	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00119	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_Ar3D6SQ3	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00120	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_Ar3D6SQ3	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00121	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_B9AWr61e	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00122	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_B9AWr61e	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00123	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_BAumv88a	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00124	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_BM52neuO	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
