# 02 triage tags (vanillahunt link 02, smr-bugfixpack-b6, 2026-09-10) — working copy of 01's CALLERS.tsv; ⛔ 01's file is untouched, this file is the parent's; regenerate from the parent's scratch scripts, never hand-edit rows.
# treediff.py v1.2 (2026-09-10, indented orphans covered; NOROWS) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE (v1.1): indent-0 declarations, five forms (function C:M / function C.M / function G / local function f / [local] x = function), PLUS every INDENTED declaration of those forms that lies OUTSIDE every enumerated span — table-field methods, sequence `Run = function(seq_state)` steps, file-level nested locals — keyed `name@<anchor>` and flagged INDENTED (ONE-LINE when the declaration closes itself: that row hashes its own line only, deliberately, so a neighbour's edit cannot re-hash it; the indent-0 pass keeps the delimiter's over-span untouched, checklist 135). Indented declarations INSIDE an enumerated span are covered by the outer body's hash and not listed. Orphans on the 1.1.0 side: 1050 in `hand` files, 1885 in `generated` (613 one-line); 1377 identical across the trees, 1910 rows. Total indented declarations for comparison: 8473 (4883 hand, 3590 generated). STILL NOT COVERED: every anonymous `function(` literal passed as an argument. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=23516 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 706 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
# CALLERS: class (b′). Every call site, in BOTH trees, of every `sig` or `body+sig` function in a `hand` file (290 callees).
# ⭐⭐ READ THIS FIRST: **a `same` call line against a CHANGED SIGNATURE is the F117 shape, and it is the single highest-yield row class in this chain.** The callee's contract moved; this call site's text did not. F117 is exactly that, and the developers wrote it themselves. status counts: changed=682 gone=331 new=618 same=2465
# `same`-against-changed-signature by file, top 12: Lua/Buildings/StorageDepot.lua=39 | CommonLua/Ged/GedPropEditors.lua=38 | Lua/Mysteries/Fireflies.lua=34 | Lua/Buildings/Building.lua=31 | Lua/Construction/Construction.lua=30 | CommonLua/Ged.lua=29 | Lua/Mysteries/MirrorSphere.lua=28 | CommonLua/Ged/GedPanel.lua=26 | Lua/UniversalRocket.lua=25 | Lua/Mysteries/Crystals.lua=25 | Lua/Buildings/RocketBase.lua=22 | Lua/Meteors.lua=22
# ⛔ TEXT-LEVEL, AND THAT IS THE WHOLE BOUND. Matching is `Name(`, `:Name(`, `.Name(` by text on the bare name, so it CANNOT see a dynamic dispatch (`self[name]`, a preset's `func` field, `Msg` handlers — chain blind spot 7), it cannot tell two classes' same-named methods apart, and it counts a mention inside a string or a comment. ⛔ IT DOES NOT BOUND REACH.
# PAIRING RULE, stated because it is an assumption: within one file, the k-th call site of a name in 1.0.7 is paired with the k-th in 1.1.0. Equal text => `same`, different => `changed`, unpaired => `new`/`gone`. If call sites were REORDERED inside a file, that pairing mislabels — read the line, not the label.
# 02 UNIT D (the b′ pass): every `same` row carries verdict F117-SHAPE | benign | unsure + one sentence. Method: signature shape per callee (appended / trailing-removed / renamed / inserted / to-varargs / varargs-named / other), a CALL-FORM homonym test (a bare `Name(` cannot reach a method callee; `x:Name(` cannot reach a global), the caller path (hand / generated / tooling-by-path), and for appended parameters whether the 1.1.0 callee body indexes the new parameter unguarded (measured: none does). Meaning-changed slots were read in the callee body (tri_dcheck). ⛔ Text-level caller table: a benign verdict bounds nothing about dynamic dispatch (chain blind spot 7). F117-SHAPE rows are CANDIDATES, TAKEABLE WHEN the owning link reads the caller's body — not C entries.
# 02 COLUMNS: cid = C + 1-based data-row index of CALLERS.tsv; verdict, why, caller_system, caller_link (03 when the CALLEE row is dlc-adjacent), homonym, caller_path. Rows whose status is not `same` carry no verdict (not in unit D).
cid	callee_file	callee_function	name	call_file	call_line107	call_line110	status	call_text	verdict	why	caller_system	caller_link	homonym	caller_path
C00025	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/ResourceStockpile.lua	712	739	changed	self:AddResourceAmount(-amount_to_remove, self.resource)						
C00026	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/ResourceStockpile.lua	1120	1240	changed	best_stock:AddResourceAmount(amount, resource)						
C00027	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/Station.lua		219	new	pile:AddResourceAmount(amt, res, false)						
C00028	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/StockpileController.lua	143	304	changed	self.stockpiles[self.next_stockpile_idx]:AddResourceAmount(amount_to_stock, resource, false)						
C00029	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/StockpileController.lua	161	321	changed	self.stockpiles[self.next_stockpile_idx]:AddResourceAmount(-amount, resource, false)						
C00030	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/StockpileController.lua		388	new	pool:AddResourceAmount(snap.amount, snap.resource, true)						
C00031	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/StorageDepot.lua	1223	1293	changed	self.stockpiles[1]:AddResourceAmount(amount_to_add_to_stock, resource)						
C00032	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/DustStorm.lua	280	313	changed	obj:AddResourceAmount(-amount, "Fuel", true)						
C00033	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Meteors.lua	680	808	changed	obj:AddResourceAmount(-amount, "Fuel", true)						
C00034	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Meteors.lua	810	952	changed	obj:AddResourceAmount(-amount, "Fuel", true)						
C00035	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Mysteries/BlackCubes.lua	222	232	changed	self:AddResourceAmount(-subtract, self.resource) --this will update our supply request						
C00036	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Spoilage.lua		53	new	pile:AddResourceAmount(-spoil, res, true)						
C00037	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Spoilage.lua		61	new	pile:AddResourceAmount(-spoil, res, true)						
C00038	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Units/RCDriller.lua	115	115	changed	stock_pile:AddResourceAmount(production, deposit.resource)						
C00039	Lua/Units/Colonist.lua	Colonist.AddToLog	AddToLog	Lua/Units/Colonist.lua	3809	4720	changed	self:AddToLog("log_health", amount, reason)						
C00040	Lua/Units/Colonist.lua	Colonist.AddToLog	AddToLog	Lua/Units/Colonist.lua	3839	4749	changed	self:AddToLog("log_sanity", amount, reason)						
C00041	Lua/Units/Colonist.lua	Colonist.AddToLog	AddToLog	Lua/Units/Colonist.lua	3853	4800	changed	self:AddToLog("log_comfort", amount, reason, permanent)						
C00042	Lua/Units/Colonist.lua	Colonist.AddToLog	AddToLog	Lua/Units/Colonist.lua	3917	4844	changed	self:AddToLog("log_morale", amount, reason, permanent)						
C00043	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Data/ClassDef-Effects.lua	2652	2635	changed	colonist:Affect(self.Status, self.Apply, nil, nil, self.Explanation)						
C00044	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Data/StatusEffectPreset.lua		89	new	colonist:Affect("StatusEffect_Stuffed", false)						
C00045	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Data/StatusEffectPreset.lua		119	new	colonist:Affect("StatusEffect_Stuffed", false)						
C00046	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Data/StatusEffectPreset.lua		168	new	colonist:Affect(self.id, false)						
C00047	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Data/StatusEffectPreset.lua		269	new	colonist:Affect("StatusEffect_Stuffed", false)						
C00048	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Buildings/Community.lua	411	477	same	colonist:Affect("StatusEffect_Dehydrated", not self:HasWater(), t)	benign	benign BY SHAPE: appended trailing explanation; this call passes 3, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	services	04-B		hand
C00049	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Buildings/Community.lua	412	478	same	colonist:Affect("StatusEffect_Suffocating", not_breathable and not self:HasAir(), t)	benign	benign BY SHAPE: appended trailing explanation; this call passes 3, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	services	04-B		hand
C00050	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Buildings/Community.lua	413	479	same	colonist:Affect("StatusEffect_Freezing", not_breathable and not self:HasPower(), t)	benign	benign BY SHAPE: appended trailing explanation; this call passes 3, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	services	04-B		hand
C00051	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Buildings/OpenAirGym.lua		12	new	unit:Affect("StatusEffect_InsulinResistant", false)						
C00052	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/ClassDefs/ClassDef-Effects.generated.lua	1662	1643	changed	colonist:Affect(self.Status, self.Apply, nil, nil, self.Explanation)						
C00053	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Mysteries/MirrorSphere.lua	237	238	same	colonist:Affect("StatusEffect_Irradiated", false)	benign	benign BY SHAPE: appended trailing explanation; this call passes 2, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	story	04-B		hand
C00054	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Mysteries/MirrorSphere.lua	252	253	same	colonist:Affect("StatusEffect_Irradiated", "start", false, "force")	benign	benign BY SHAPE: appended trailing explanation; this call passes 4, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	story	04-B		hand
C00055	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/ScriptStatements.lua		159	new	colonist:Affect(status, apply, nil, nil, explanation)						
C00056	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/StatusEffectPreset.lua		152	new	colonist:Affect(self.id, "start", nil, "force")						
C00057	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/StatusEffectPreset.lua		158	new	colonist:Affect(self.id, false)						
C00058	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/StatusEffects.lua	254		gone	unit:Affect(self.class, false)						
C00059	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Terraforming.lua	342	349	same	Affect(colonist, "StatusEffect_Suffocating_Outside", false)	benign	benign BY SHAPE: appended trailing explanation; this call passes 3, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	disasters	04-B	homonym	hand
C00060	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Terraforming.lua	344	351	same	Affect(colonist, "StatusEffect_Suffocating", false)	benign	benign BY SHAPE: appended trailing explanation; this call passes 3, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	disasters	04-B	homonym	hand
C00061	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Terraforming.lua	345	352	same	Affect(colonist, "StatusEffect_Freezing", false)	benign	benign BY SHAPE: appended trailing explanation; this call passes 3, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	disasters	04-B	homonym	hand
C00062	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	292	358	same	self:Affect("StatusEffect_Homeless", false)	benign	benign BY SHAPE: appended trailing explanation; this call passes 2, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	colonists	04-B		hand
C00063	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	293	359	same	self:Affect("StatusEffect_Unemployed", false)	benign	benign BY SHAPE: appended trailing explanation; this call passes 2, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: explanation passed-on) — whether this caller NEEDED the new behaviour is not read here	colonists	04-B		hand
C00064	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	707	1001	changed	self:Affect("StatusEffect_Hungry", false)						
C00065	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	708	1002	changed	self:Affect("StatusEffect_Starving", false)						
C00066	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	709	1004	changed	self:Affect("StatusEffect_Malnourished", false)						
C00067	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	710	1005	changed	self:Affect("StatusEffect_Freezing", false)						
C00068	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	711	1006	changed	self:Affect("StatusEffect_Suffocating", false)						
C00069	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	997	1007	changed	self:Affect("StatusEffect_Suffocating_Outside", false)						
C00070	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	1369	1008	changed	self:Affect("StatusEffect_Dehydrated", false)						
C00071	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	1377	1009	changed	self:Affect("StatusEffect_Dehydrated_Outside", false)						
C00072	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	1836	1301	changed	self:Affect(effect, false)						
C00073	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	1886	1689	changed	self:Affect("StatusEffect_Unemployed", false)						
C00074	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	2283	1697	changed	self:Affect("StatusEffect_Unemployed", "start")						
C00075	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	2287	2279	changed	self:Affect("StatusEffect_StressedOut", "start")						
C00076	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	2385	2890	changed	self:Affect("StatusEffect_Homeless", false)						
C00077	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	2386	2894	changed	self:Affect("StatusEffect_Homeless", "start")						
C00078	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	3731	3026	changed	self:Affect("StatusEffect_Suffocating_Outside", false)						
C00079	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	3734	3027	changed	self:Affect("StatusEffect_Dehydrated_Outside", false)						
C00080	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	3767	4578	changed	self:Affect("StatusEffect_Suffocating_Outside", "start", nil, "force")						
C00081	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	3877	4581	changed	self:Affect("StatusEffect_Dehydrated_Outside", "start", nil, "force")						
C00082	Lua/Units/Colonist.lua	Colonist.Affect	Affect	Lua/Units/Colonist.lua	3888	4624	changed	self:Affect("StatusEffect_Starving", false)						
