# treediff.py v1.2 (2026-09-10, indented orphans covered; NOROWS) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE (v1.1): indent-0 declarations, five forms (function C:M / function C.M / function G / local function f / [local] x = function), PLUS every INDENTED declaration of those forms that lies OUTSIDE every enumerated span — table-field methods, sequence `Run = function(seq_state)` steps, file-level nested locals — keyed `name@<anchor>` and flagged INDENTED (ONE-LINE when the declaration closes itself: that row hashes its own line only, deliberately, so a neighbour's edit cannot re-hash it; the indent-0 pass keeps the delimiter's over-span untouched, checklist 135). Indented declarations INSIDE an enumerated span are covered by the outer body's hash and not listed. Orphans on the 1.1.0 side: 1050 in `hand` files, 1885 in `generated` (613 one-line); 1377 identical across the trees, 1910 rows. Total indented declarations for comparison: 8473 (4883 hand, 3590 generated). STILL NOT COVERED: every anonymous `function(` literal passed as an argument. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=23516 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 706 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
# STORAGE: class (c), 'same concept, new home' — the shape that moved `Landscapes` GameVar->MapVar and the walk consts `const.`->`g_Consts`, and that NO instrument this project owns sees. Forms scanned: GlobalVar, MapVar, GameVar, PersistableGlobals, const, g_Consts.
# STATUS COUNTS: added=102 kind-changed=1 moved-file=9 removed=36 same=1007
# ⛔ PRESENCE SIDE, ENUMERATED: `GlobalVar("…")` has 0 declarations in 1.0.7 and 0 in 1.1.0 — the form exists in `CommonLua/Core/lib.lua` but the game declares through GameVar/MapVar. Zero is a MEASUREMENT here, not an omission.
# ⚠️ NOT NAMEABLE BY THIS TOOL: 1 dynamic declarations in 1.0.7 and 1 in 1.1.0 (`GameVar(modified_name, …)` — the name is a variable). They are storage this row set does not cover.
# ⚠️ NOT COVERED AT ALL: `ConstDef` preset definitions, which is where most consts are actually DEFINED — `presetdiff.py` reads those. `const.X =` here is the Lua-side assignment only.
name	kind107	kind110	file107	line107	file110	line110	status
BigTorusSlices	const	const	CommonLua/Core/const.lua	324	CommonLua/Core/const.lua	324	same
BiomeSlopeAngleThreshold	const	const	CommonLua/Core/const.lua	172	CommonLua/Core/const.lua	172	same
BiomeTileSize	const	const	CommonLua/Libs/MapGen/Biome.lua	1	CommonLua/Libs/MapGen/Biome.lua	1	same
BreakChanceCable	const	const	Lua/SupplyGrid.lua	2	Lua/SupplyGrid.lua	2	same
BreakChancePipe	const	const	Lua/SupplyGrid.lua	3	Lua/SupplyGrid.lua	3	same
BreakDrainModifierPct	const	const	Lua/SupplyGridBreakable.lua	1	Lua/SupplyGridBreakable.lua	1	same
BreakDrainOxygenMax	const	const	Lua/SupplyGridBreakable.lua	5	Lua/SupplyGridBreakable.lua	5	same
BreakDrainOxygenMin	const	const	Lua/SupplyGridBreakable.lua	4	Lua/SupplyGridBreakable.lua	4	same
BreakDrainPowerMax	const	const	Lua/SupplyGridBreakable.lua	3	Lua/SupplyGridBreakable.lua	3	same
BreakDrainPowerMin	const	const	Lua/SupplyGridBreakable.lua	2	Lua/SupplyGridBreakable.lua	2	same
BreakDrainWaterMax	const	const	Lua/SupplyGridBreakable.lua	7	Lua/SupplyGridBreakable.lua	7	same
BreakDrainWaterMin	const	const	Lua/SupplyGridBreakable.lua	6	Lua/SupplyGridBreakable.lua	6	same
BreakIntervalHours	const	const	Lua/SupplyGrid.lua	1	Lua/SupplyGrid.lua	1	same
BreakScheduleObjs	GameVar,PersistableGlobals	GameVar,PersistableGlobals	CommonLua/Classes/CommandObject.lua	762,763	CommonLua/Classes/CommandObject.lua	762,763	same
BreakThroughTechsPerGame	const	const	Lua/_GameConst.lua	52	Lua/_GameConst.lua	53	same
BreakthroughOrder	GameVar	GameVar	Lua/Buildings/Anomaly.lua	638	Lua/Buildings/Anomaly.lua	683	same
BreathableAtmosphere	GameVar	GameVar	Lua/Terraforming.lua	302	Lua/Terraforming.lua	309	same
BugPriorityNames	const	const	CommonLua/UI/uiXBugReportDlg.lua	309	CommonLua/UI/uiXBugReportDlg.lua	318	same
BugPriorityValues	const	const	CommonLua/UI/uiXBugReportDlg.lua	310	CommonLua/UI/uiXBugReportDlg.lua	319	same
BugReproducibilityNames	const	const	CommonLua/UI/uiXBugReportDlg.lua	331	CommonLua/UI/uiXBugReportDlg.lua	340	same
BugReproducibilityValues	const	const	CommonLua/UI/uiXBugReportDlg.lua	332	CommonLua/UI/uiXBugReportDlg.lua	341	same
BugSeverityNames	const	const	CommonLua/UI/uiXBugReportDlg.lua	319	CommonLua/UI/uiXBugReportDlg.lua	328	same
BugSeverityValues	const	const	CommonLua/UI/uiXBugReportDlg.lua	320	CommonLua/UI/uiXBugReportDlg.lua	329	same
BuildMenuPrerequisiteOverrides	GameVar	GameVar	Lua/X/BuildMenu.lua	319	Lua/X/BuildMenu.lua	332	same
BuildingWithRCRover	GameVar	GameVar	Lua/X/BuildMenu.lua	2	Lua/X/BuildMenu.lua	2	same
BuriedWonders	const	const	Lua/Buildings/UndergroundWonder.lua	24	Lua/Buildings/UndergroundWonder.lua	25	same
BuyApplicantsCount	const	const	Lua/ApplicantsPool.lua	6	Lua/ApplicantsPool.lua	6	same
CableLOSTestGranularity	const	const	Lua/ElectricityGrid.lua	557	Lua/ElectricityGrid.lua	624	same
CablePiecesDelledThisCascade	GameVar	GameVar	Lua/ElectricityGrid.lua	151	Lua/ElectricityGrid.lua	169	same
Camera3pRealTime	const	const	Lua/Config/camera.lua	123	Lua/Config/camera.lua	131	same
Camera3pTerrainCollisionHeight	const	const	Lua/Config/camera.lua	125	Lua/Config/camera.lua	133	same
CameraClipExtendRadius	const	const	CommonLua/Core/const.lua	111	CommonLua/Core/const.lua	111	same
CameraControlInvertLook	const	const	Lua/ProjectOptions.lua	372	Lua/ProjectOptions.lua	375	same
CameraControlInvertRotation	const	const	Lua/ProjectOptions.lua	373	Lua/ProjectOptions.lua	376	same
CameraControlRotationSpeed	const	const	Lua/Config/camera.lua	124	Lua/Config/camera.lua	132	same
CameraControllerStateUpdateTime	const	const	CommonLua/Core/const.lua	132	CommonLua/Core/const.lua	132	same
CameraEditorDefaultSharpness	const	const	CommonLua/Core/const.lua	103	CommonLua/Core/const.lua	103	same
CameraFollowObj	GameVar	GameVar	Lua/FollowCamera.lua	6	Lua/FollowCamera.lua	6	same
CameraFollowObjWaiting	GameVar	GameVar	Lua/FollowCamera.lua	7	Lua/FollowCamera.lua	7	same
CameraFollowVerticalOffset	GameVar	GameVar	Lua/FollowCamera.lua	8	Lua/FollowCamera.lua	8	same
CameraShakeFOV	const	const	CommonLua/Core/const.lua	112	CommonLua/Core/const.lua	112	same
CameraState	MapVar	MapVar	Lua/Config/camera.lua	3	Lua/Config/camera.lua	3	same
CameraVerticalOffset	const	const	Lua/FollowCamera.lua	12,63	Lua/FollowCamera.lua	12,74	same
CaptureAsteroids	GameVar	GameVar	Lua/Asteroids.lua	2	Lua/Asteroids.lua	2	same
CapturedMirrorSpheres	GameVar	GameVar	Lua/Mysteries/MirrorSphere.lua	25	Lua/Mysteries/MirrorSphere.lua	25	same
CargoRequestItemMax	const	const	Lua/_GameConst.lua	137	Lua/_GameConst.lua	153	same
CavesOpened	MapVar	MapVar	CommonLua/Editor/XEditor/XCaveBrush.lua	4	CommonLua/Editor/XEditor/XCaveBrush.lua	4	same
ChallengeRating	GameVar	GameVar	Lua/Milestones.lua	73	Lua/Milestones.lua	79	same
ChangeWorkshiftThread	GameVar	GameVar	Lua/Buildings/ShiftsBuilding.lua	72	Lua/Buildings/ShiftsBuilding.lua	113	same
CheatsUsed	GameVar	GameVar	CommonLua/Libs/Network/Network.lua	241	CommonLua/Libs/Network/Network.lua	241	same
CheatsVegGrowthModifier	GameVar	GameVar	Lua/Vegetation.lua	19	Lua/Vegetation.lua	20	same
Cities	GameVar	GameVar	Lua/City.lua	465	Lua/City.lua	506	same
City	MapVar	MapVar	Lua/City.lua	466	Lua/City.lua	507	same
CityConstruction	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	87	Lua/Construction/ConstructionControllers.lua	87	same
CityGridConstruction	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	88	Lua/Construction/ConstructionControllers.lua	88	same
CityGridSwitchConstruction	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	89	Lua/Construction/ConstructionControllers.lua	89	same
CityLandscapeClearWasteRock	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	98	Lua/Construction/ConstructionControllers.lua	98	same
CityLandscapeRamp	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	96	Lua/Construction/ConstructionControllers.lua	96	same
CityLandscapeTerrace	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	95	Lua/Construction/ConstructionControllers.lua	95	same
CityLandscapeTexture	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	97	Lua/Construction/ConstructionControllers.lua	97	same
CityLayoutConstruction	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	91	Lua/Construction/ConstructionControllers.lua	91	same
CityLevelPrefabConstruction	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	92	Lua/Construction/ConstructionControllers.lua	92	same
CityTunnelConstruction	GameVar	GameVar	Lua/Construction/ConstructionControllers.lua	90	Lua/Construction/ConstructionControllers.lua	90	same
CityUnitController	GameVar	GameVar	Lua/UnitControl.lua	1	Lua/UnitControl.lua	1	same
ColdWavesDisabled	GameVar	GameVar	Lua/TerraformingDisasters.lua	1	Lua/TerraformingDisasters.lua	1	same
Collections	MapVar	MapVar	CommonLua/Classes/collection.lua	4	CommonLua/Classes/collection.lua	4	same
CollectionsByName	MapVar	MapVar	CommonLua/Classes/collection.lua	5	CommonLua/Classes/collection.lua	5	same
ColliderColors	const	const	CommonLua/Core/config.lua	24	CommonLua/Core/config.lua	30	same
ColonistAgeGroups	const	const	Lua/_GameConst.lua	376	Lua/_GameConst.lua	401	same
ColonistAges	const	const	Lua/_GameConst.lua	384	Lua/_GameConst.lua	409	same
ColonistDeathStats	GameVar	GameVar	Lua/MarsStoryBits.lua	152	Lua/MarsStoryBits.lua	161	same
ColonistMaxDepartureRocketDist	const	const	Lua/_GameConst.lua	132	Lua/_GameConst.lua	147	same
ColonistMaxDomeWalkDist	const		Data/GameRuleDef.lua,Lua/Buildings/Station.lua,Lua/_GameConst.lua	201,133,1311			removed
ColonistMaxPassagePassthroughDomes	const	const	Lua/_GameConst.lua	135	Lua/_GameConst.lua	151	same
ColonistMaxWaitInDomeTurnedOff	const	const	Lua/_GameConst.lua	131	Lua/_GameConst.lua	146	same
ColonistMaxWaitShuttlePickupTimeMs	const	const	Lua/_GameConst.lua	130	Lua/_GameConst.lua	143	same
ColonistMinDistToIgnorePassage	const		Data/GameRuleDef.lua,Lua/Buildings/Station.lua,Lua/_GameConst.lua	202,134,1312			removed
ColonistSpecialization	const	const	Lua/Specialization.lua	3	Lua/Specialization.lua	3	same
ColonistTransportTaskExpirationCheck		const			Lua/_GameConst.lua	145	added
ColonistTransportTaskExpirationTime		const			Lua/_GameConst.lua	144	added
ColonyViableByDelay	const	const	Lua/ColonyViability.lua	101	Lua/ColonyViability.lua	103	same
ColorList	const	const	CommonLua/Core/const.lua	221	CommonLua/Core/const.lua	221	same
ColorModifierReasonsData	GameVar	GameVar	CommonLua/Classes/ReasonSetters/ColorModifierReason.lua	14	CommonLua/Classes/ReasonSetters/ColorModifierReason.lua	14	same
CommandCenterDefaultRadius	const	const	Lua/_GameConst.lua	62	Lua/_GameConst.lua	63	same
CommandCenterMaxRadius	const	const	Lua/_GameConst.lua	63	Lua/_GameConst.lua	64	same
CommandCenterMinRadius	const	const	Lua/_GameConst.lua	64	Lua/_GameConst.lua	65	same
ComponentsPropCategory	const	const	CommonLua/Classes/Composite.lua	7	CommonLua/Classes/Composite.lua	7	same
ConnectionStates		GameVar			Lua/TechTree.lua	547	added
ConstructBorder	const	const	Lua/_GameConst.lua	187	Lua/_GameConst.lua	204	same
ConstructableArea	MapVar	MapVar	Lua/Construction/Construction.lua	111	Lua/Construction/Construction.lua	184	same
ConstructionCounter	GameVar	GameVar	Lua/Buildings/ConstructionSite.lua	1	Lua/Buildings/ConstructionSite.lua	1	same
ConstructiongGridElementsGroupSize	const	const	Lua/_GameConst.lua	480	Lua/_GameConst.lua	506	same
ContourReasons	MapVar	MapVar	CommonLua/Classes/ReasonSetters/ContourReason.lua	1	CommonLua/Classes/ReasonSetters/ContourReason.lua	1	same
ControllerUIScale	const	const	CommonLua/Core/const.lua	392	CommonLua/Core/const.lua	392	same
CrashTestMode	GameVar	GameVar	Lua/CrashTest.lua	8	Lua/CrashTest.lua	8	same
CropOutputAugmentations		GameVar			Lua/Crop.lua	113	added
CropTechLocks	GameVar	GameVar	Lua/Crop.lua	59	Lua/Crop.lua	60	same
CurrentEvent	GameVar	GameVar	CommonLua/Libs/TriggersAndEvents/Events.lua	142	CommonLua/Libs/TriggersAndEvents/Events.lua	150	same
CurrentLayoutDir	GameVar	GameVar	Lua/Construction/LayoutConstruction.lua	3	Lua/Construction/LayoutConstruction.lua	3	same
CurrentLayoutPos	GameVar	GameVar	Lua/Construction/LayoutConstruction.lua	2	Lua/Construction/LayoutConstruction.lua	2	same
CurrentLayoutPreset	GameVar	GameVar	Lua/Construction/LayoutConstruction.lua	1	Lua/Construction/LayoutConstruction.lua	1	same
CurrentLightmodel	MapVar	MapVar	CommonLua/Classes/Lightmodel.lua	792	CommonLua/Classes/Lightmodel.lua	908	same
CurrentSpoilage		GameVar			Lua/Spoilage.lua	7	added
CurrentWorkshift	GameVar	GameVar	Lua/DayTime.lua	10	Lua/DayTime.lua	10	same
CustomGameColors	const	const	CommonLua/Core/const.lua	206	CommonLua/Core/const.lua	206	same
CustomSyncHandles	GameVar	GameVar	CommonLua/Classes/_object.lua	466	CommonLua/Classes/_object.lua	468	same
CutsceneNearZ	const	const	CommonLua/Core/const.lua	108	CommonLua/Core/const.lua	108	same
DayDuration	const	const	Lua/_GameConst.lua	3	Lua/_GameConst.lua	3	same
DayStart	GameVar	GameVar	Lua/DayTime.lua	11	Lua/DayTime.lua	11	same
DbgConnectivityMeshes		GameVar			CommonLua/Libs/DevToolsPublic/Connectivity.lua	5	added
DbgDrawPathObjs	MapVar	MapVar	CommonLua/Libs/DevToolsPublic/PathDebug.lua	473	CommonLua/Libs/DevToolsPublic/PathDebug.lua	514	same
DbgFlightObjs	MapVar		CommonLua/Libs/DevToolsPublic/FlightDebug.lua	183			removed
DbgOverlayMode	MapVar	MapVar	CommonLua/Libs/DevToolsPublic/TerrainGridInspect.lua	331	CommonLua/Libs/DevToolsPublic/TerrainGridInspect.lua	338	same
DbgTestObjs		GameVar			CommonLua/Libs/DevToolsPublic/debug.lua	522	added
DeepSectorsScanned	GameVar	GameVar	Lua/Exploration.lua	2	Lua/Exploration.lua	2	same
DefaultAutosaveCount	const	const	CommonLua/Savegame.lua,Lua/_GameConst.lua	1446,18	CommonLua/Savegame.lua,Lua/_GameConst.lua	1444,17	same
DefaultAutosaveInterval	const	const	CommonLua/Savegame.lua,Lua/_GameConst.lua	1448,20	CommonLua/Savegame.lua,Lua/_GameConst.lua	1446,19	same
DefaultAutosaveIntervalScale	const	const	CommonLua/Savegame.lua,Lua/_GameConst.lua	1447,19	CommonLua/Savegame.lua,Lua/_GameConst.lua	1445,18	same
DefaultCameraRTS	const	const	Lua/Config/camera.lua	84	Lua/Config/camera.lua	92	same
DefaultDefrostTime	const	const	Lua/_GameConst.lua	195	Lua/_GameConst.lua	212	same
DefaultFlyCameraSpeed	const	const	Lua/Config/camera.lua	162	Lua/Config/camera.lua	170	same
DefaultFlyScrollCameraSpeed	const	const	Lua/Config/camera.lua	163	Lua/Config/camera.lua	171	same
DefaultFreezeHeat	const	const	Lua/_GameConst.lua	193	Lua/_GameConst.lua	210	same
DefaultFreezeTime	const	const	Lua/_GameConst.lua	194	Lua/_GameConst.lua	211	same
DefaultInteractionCursor	const	const	Lua/_GameConst.lua	92	Lua/_GameConst.lua	105	same
DefaultMaintenanceBuildUpPerHour	const	const	Lua/_GameConst.lua	50	Lua/_GameConst.lua	46	same
DefaultMouseCursor	const	const	CommonLua/Core/const.lua,Lua/_GameConst.lua	85,90	CommonLua/Core/const.lua,Lua/_GameConst.lua	85,103	same
DefaultPanaltyHeat	const	const	Lua/_GameConst.lua	191	Lua/_GameConst.lua	208	same
DefaultPanaltyPct	const	const	Lua/_GameConst.lua	192	Lua/_GameConst.lua	209	same
DefaultPlayerColorizationChannel		const			CommonLua/Core/const.lua	453	added
DefaultReporter	const	const	Lua/Config/_config.lua	8	Lua/Config/_config.lua	8	same
DefaultRoverCursor	const	const	Lua/_GameConst.lua	91	Lua/_GameConst.lua	104	same
DefaultTimeFactor	const	const	CommonLua/Core/const.lua	126	CommonLua/Core/const.lua	126	same
DefaultWorkshiftDurations	const	const	Lua/_GameConst.lua	371	Lua/_GameConst.lua	396	same
DefaultWorkshifts	const	const	Lua/_GameConst.lua	370	Lua/_GameConst.lua	395	same
DelayedCallObjects	GameVar	GameVar	CommonLua/Core/notify.lua	3	CommonLua/Core/notify.lua	3	same
DelayedCallThreads	GameVar	GameVar	CommonLua/Core/notify.lua	4	CommonLua/Core/notify.lua	4	same
DelayedGridUpdateGrids	GameVar	GameVar	Lua/SupplyGrid.lua	377	Lua/SupplyGrid.lua	383	same
DelayedGridUpdateThread	GameVar	GameVar	Lua/SupplyGrid.lua	378	Lua/SupplyGrid.lua	384	same
DelayedTrackPowerLinksThread	GameVar	GameVar	Lua/Buildings/Station.lua	1377	Lua/Buildings/Station.lua	1535	same
DemolishCountdownMax	const	const	Lua/_GameConst.lua	101	Lua/_GameConst.lua	114	same
DepletedDeposits	GameVar	GameVar	Lua/Buildings/SubsurfaceDeposit.lua	279	Lua/Buildings/SubsurfaceDeposit.lua	278	same
DepositDeepestLayer	const	const	Lua/_GameConst.lua	88	Lua/_GameConst.lua	101	same
DepositObstructMaxRadius	const	const	Lua/_GameConst.lua	128	Lua/_GameConst.lua	141	same
DestroyedMirrorSpheres	GameVar	GameVar	Lua/Mysteries/MirrorSphere.lua	26	Lua/Mysteries/MirrorSphere.lua	26	same
DirtyFlagPassability	const	const	Lua/_fixup.lua	1217	Lua/_fixup.lua	1316	same
DisabledInEnvironment	GameVar	GameVar	Lua/Buildings/Building.lua	42	Lua/Buildings/Building.lua	41	same
DisasterLightmodelList	GameVar	GameVar	Lua/Lightmodel.lua	126	Lua/Lightmodel.lua	126	same
DistressCallCooldown	const	const	Lua/_GameConst.lua	107	Lua/_GameConst.lua	120	same
DistressCallCooldownEnd	GameVar	GameVar	Lua/RivalColonies.lua	83	Lua/RivalColonies.lua	79	same
DomeCap	const	const	Lua/Buildings/Dome.lua	1	Lua/Buildings/Dome.lua	1	same
DomeSkinsCache	GameVar	GameVar	Lua/Buildings/Dome.lua	3470	Lua/Buildings/Dome.lua	4095	same
