# Link 03 close-out snapshot 2026-09-10; read attestations, not automated clearance.
surface	key	file	subject	span107	span110	original_link	owner	read_status	reader	fr	evidence
INVENTORY	R04002	Data/FactionDef/LastTransmission.lua	eval@1e46ea#34		621-623	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04003	Data/FactionDef/LastTransmission.lua	eval@1e46ea#4	85-87	87-89	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04025	Data/FactionDef/NewSol.lua	eval@1e46ea#10	227-229	231-233	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04026	Data/FactionDef/NewSol.lua	eval@1e46ea#11	246-248	249-251	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04031	Data/FactionDef/NewSol.lua	eval@1e46ea#17	332-334	359-361	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04033	Data/FactionDef/NewSol.lua	eval@1e46ea#20	361-363	412-414	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04034	Data/FactionDef/NewSol.lua	eval@1e46ea#21	378-380	422-424	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04035	Data/FactionDef/NewSol.lua	eval@1e46ea#22	413-415	437-439	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04036	Data/FactionDef/NewSol.lua	eval@1e46ea#23	428-430	447-449	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04039	Data/FactionDef/NewSol.lua	eval@1e46ea#26	490-492	502-504	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04040	Data/FactionDef/NewSol.lua	eval@1e46ea#27	501-503	512-514	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04043	Data/FactionDef/NewSol.lua	eval@1e46ea#3	80-82	84-86	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04045	Data/FactionDef/NewSol.lua	eval@1e46ea#31	551-553		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04046	Data/FactionDef/NewSol.lua	eval@1e46ea#32	565-567		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04047	Data/FactionDef/NewSol.lua	eval@1e46ea#33	576-578		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04048	Data/FactionDef/NewSol.lua	eval@1e46ea#4	122-124	102-104	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04049	Data/FactionDef/NewSol.lua	eval@1e46ea#5	141-143	120-122	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04052	Data/FactionDef/NewSol.lua	eval@1e46ea#8	189-191	193-195	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04053	Data/FactionDef/NewSol.lua	eval@1e46ea#9	208-210	211-213	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04079	Data/FactionDef/ProsperityForMars.lua	eval@1e46ea#17	364-366	367-369	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04080	Data/FactionDef/ProsperityForMars.lua	eval@1e46ea#18	380-382	382-384	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04111	Data/FactionDef/UnitedColonistFront.lua	eval@1e46ea#8	157-159		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04112	Data/FactionDef/WorkersParty.lua	eval@1e46ea#11	259-261	261-263	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04115	Data/FactionDef/WorkersParty.lua	eval@1e46ea#15	316-318	349-351	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04116	Data/FactionDef/WorkersParty.lua	eval@1e46ea#16	354-356	359-361	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04117	Data/FactionDef/WorkersParty.lua	eval@1e46ea#17	365-367	380-382	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04118	Data/FactionDef/WorkersParty.lua	eval@1e46ea#18	385-387	390-392	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04121	Data/FactionDef/WorkersParty.lua	eval@1e46ea#21	427-429	455-457	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04122	Data/FactionDef/WorkersParty.lua	eval@1e46ea#22	447-449	465-467	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04126	Data/FactionDef/WorkersParty.lua	eval@1e46ea#8	150-152	151-153	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04127	Data/FlightPolicyDef.lua	GetAutoModeAllowedResources@3bfead#1	133-142	145-166	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04128	Data/FlightPolicyDef.lua	GetAutoModeAllowedResources@3bfead#2	232-241	271-296	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04129	Data/FlightPolicyDef.lua	GetAutoModeAllowedResources@3bfead#3	390-397	463-480	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04130	Data/FlightPolicyDef.lua	GetManualModeAllowedResources@3bfead#1	143-152	167-189	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04132	Data/FlightPolicyDef.lua	GetManualModeAllowedResources@3bfead#3	398-407	481-506	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04146	Data/FlightPolicyDef.lua	OnCmdWaitInOrbitBegin@3bfead#2	482-491	582-592	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04152	Data/GameRuleDef.lua	Value@153a91#1	16-16	16-16	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04154	Data/GameRuleDef.lua	eval@153a91	6-13	6-13	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04156	Data/LawDef/LawDef-Earth.lua	Handler@5f2abf#2	790-800	821-833	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04157	Data/LawDef/LawDef-Earth.lua	Handler@5f2abf#4	1060-1068	1110-1118	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04159	Data/LawDef/LawDef-Earth.lua	Handler@5f2abf#6	1214-1224	1280-1292	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04161	Data/LawDef/LawDef-Economy.lua	eval@5f2abf	1092-1094	287-289	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04164	Data/LawDef/LawDef-Efficiency.lua	Handler@5f2abf#1	637-641	699-704	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04165	Data/LawDef/LawDef-Efficiency.lua	Handler@5f2abf#2		907-912	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04166	Data/LawDef/LawDef-Efficiency.lua	Handler@5f2abf#3		1125-1129	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04168	Data/LawDef/LawDef-Founder Stage.lua	Handler@5f2abf#2	190-195	210-215	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04169	Data/LawDef/LawDef-Founder Stage.lua	Handler@5f2abf#3	199-204	219-224	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04173	Data/LawDef/LawDef-Founder Stage.lua	eval@5f2abf#2	170-173	190-193	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04174	Data/LawDef/LawDef-Governance.lua	Handler@5f2abf#1	77-99	81-103	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04175	Data/LawDef/LawDef-Governance.lua	Handler@5f2abf#2	210-231	206-227	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04176	Data/LawDef/LawDef-Governance.lua	Handler@5f2abf#3	316-326	316-326	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04177	Data/LawDef/LawDef-Governance.lua	Handler@5f2abf#4	427-431	421-425	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04180	Data/LawDef/LawDef-Research.lua	ChooseTarget@5f2abf		519-521	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04181	Data/LawDef/LawDef-Research.lua	Handler@5f2abf#1	312-326	589-595	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04182	Data/LawDef/LawDef-Research.lua	Handler@5f2abf#2	405-420	664-679	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04183	Data/LawDef/LawDef-Research.lua	Handler@5f2abf#5	1906-1922	2326-2344	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04201	Data/LawDef/LawDef-Welfare.lua	ChooseTarget@5f2abf#1		107-109	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04205	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#1	80-89	91-100	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04206	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#10		2966-2974	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04207	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#11		3065-3073	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04208	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#12		3159-3167	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04209	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#13		3249-3257	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04210	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#14		3347-3355	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04211	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#2	171-180	193-202	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04212	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#7		2681-2689	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04213	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#8		2775-2783	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04214	Data/LawDef/LawDef-Welfare.lua	Handler@5f2abf#9		2873-2881	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04243	Data/NotificationPreset.lua	AddItems@85b2b4#19		1388-1390	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04256	Data/NotificationPreset.lua	DismissFunc@85b2b4#1	1214-1216	1391-1393	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04257	Data/NotificationPreset.lua	DismissFunc@85b2b4#2		1927-1930	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04283	Data/NotificationPreset.lua	PressFunc@85b2b4#9		1933-1939	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04305	Data/PolicyDef.lua	Value@b7125f#1	404-404		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04306	Data/PolicyDef.lua	Value@b7125f#2	416-416		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04308	Data/PolicyDef.lua	Value@b7125f#4	496-496		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04309	Data/PolicyDef.lua	Value@b7125f#5	899-899		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04310	Data/PolicyDef.lua	Value@b7125f#6	964-964		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04311	Data/PolicyDef.lua	eval@b7125f#10	895-897	782-784	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04312	Data/PolicyDef.lua	eval@b7125f#12	960-962	888-890	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04313	Data/PolicyDef.lua	eval@b7125f#15		950-952	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04314	Data/PolicyDef.lua	eval@b7125f#3	400-402	229-231	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04315	Data/PolicyDef.lua	eval@b7125f#4	412-414	383-385	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04316	Data/PolicyDef.lua	eval@b7125f#5	467-469	392-394	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04318	Data/PolicyDef.lua	eval@b7125f#9	559-561	476-478	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04324	Data/SponsorGoals.lua	Completed@67f446#12	230-247		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04333	Data/SponsorGoals.lua	Completed@67f446#20	406-420		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04378	Data/SponsorGoals.lua	EvalProgress@67f446#18		483-489	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04509	Data/StatsImpact.lua	ApplyStats@8429e4#2		72-74	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04510	Data/StatsImpact.lua	ApplyStats@8429e4#3		82-84	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04515	Data/StatsImpact.lua	Condition@32ad74#3		172-172	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04518	Data/StatsImpact.lua	Condition@8429e4#10		85-85	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04530	Data/StatsImpact.lua	Condition@8429e4#7		53-53	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04532	Data/StatsImpact.lua	Condition@8429e4#9		75-75	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04535	Data/StatusEffectPreset.lua	OnStart@5dfae0#1		87-91	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04536	Data/StatusEffectPreset.lua	OnStart@5dfae0#2		118-121	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04540	Data/StatusEffectPreset.lua	OnStart@5dfae0#6		268-271	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04541	Data/StatusEffectPreset.lua	OnStop@5dfae0#1		92-95	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04542	Data/StatusEffectPreset.lua	OnStop@5dfae0#2		122-124	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04546	Data/StatusEffectPreset.lua	OnStop@5dfae0#6		272-274	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04569	Data/Tech.lua	Handler@347971#7		8126-8130	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04571	Data/Tech.lua	OnApplyEffect@347971#10		6865-6867	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04572	Data/Tech.lua	OnApplyEffect@347971#11		6893-6895	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04573	Data/Tech.lua	OnApplyEffect@347971#12		6921-6923	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04574	Data/Tech.lua	OnApplyEffect@347971#13		6949-6951	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04575	Data/Tech.lua	OnApplyEffect@347971#14		6977-6979	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04576	Data/Tech.lua	OnApplyEffect@347971#15		7005-7007	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04577	Data/Tech.lua	OnApplyEffect@347971#16		7033-7035	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04578	Data/Tech.lua	OnApplyEffect@347971#17		7061-7063	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04579	Data/Tech.lua	OnApplyEffect@347971#18		7089-7091	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04581	Data/Tech.lua	OnApplyEffect@347971#2		1002-1012	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04584	Data/Tech.lua	OnApplyEffect@347971#22		9980-9985	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04588	Data/Tech.lua	OnApplyEffect@347971#4		2378-2384	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04589	Data/Tech.lua	OnApplyEffect@347971#5		2420-2432	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04592	Data/Tech.lua	OnApplyEffect@347971#8		6807-6809	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04593	Data/Tech.lua	OnApplyEffect@347971#9		6837-6839	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04594	Data/Tech.lua	OnInitEffect@347971#1		1013-1023	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04595	Data/Tech.lua	OnInitEffect@347971#10		6980-6982	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04596	Data/Tech.lua	OnInitEffect@347971#11		7008-7010	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04597	Data/Tech.lua	OnInitEffect@347971#12		7036-7038	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04598	Data/Tech.lua	OnInitEffect@347971#13		7064-7066	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04599	Data/Tech.lua	OnInitEffect@347971#14		7092-7094	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04600	Data/Tech.lua	OnInitEffect@347971#15		9986-9991	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04601	Data/Tech.lua	OnInitEffect@347971#2		2385-2391	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04602	Data/Tech.lua	OnInitEffect@347971#3		2433-2445	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04603	Data/Tech.lua	OnInitEffect@347971#4		6810-6812	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04604	Data/Tech.lua	OnInitEffect@347971#5		6840-6842	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04605	Data/Tech.lua	OnInitEffect@347971#6		6868-6870	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04606	Data/Tech.lua	OnInitEffect@347971#7		6896-6898	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04607	Data/Tech.lua	OnInitEffect@347971#8		6924-6926	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04608	Data/Tech.lua	OnInitEffect@347971#9		6952-6954	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04611	Data/Tech.lua	OnResearched@347971#11		1462-1473	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04661	Data/TechPreset.lua	OnApplyEffect@b017ab#12	4442-4445		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04662	Data/TechPreset.lua	OnApplyEffect@b017ab#13	4477-4487		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04666	Data/TechPreset.lua	OnApplyEffect@b017ab#3	656-663		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04667	Data/TechPreset.lua	OnApplyEffect@b017ab#4	1841-1844		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04669	Data/TechPreset.lua	OnApplyEffect@b017ab#6	1935-1944		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04671	Data/TechPreset.lua	OnApplyEffect@b017ab#8	2687-2689		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04673	Data/TechPreset.lua	OnInitEffect@b017ab#1	664-671		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04674	Data/TechPreset.lua	OnInitEffect@b017ab#2	1845-1848		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04675	Data/TechPreset.lua	OnInitEffect@b017ab#3	1945-1954		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04676	Data/TechPreset.lua	OnInitEffect@b017ab#4	2690-2692		03	03b	pending			SEAM_REPORT.md#remaining
