"id"	"group"	"icon"	"obsolete"	"description"
"MineralApplications_AdvancedMineralComposites"	"Hi_tech_5"	"UI/Icons/Research/advanced_mineral_composites.png"	"True"	"178781704642, --[[Tech MineralApplications_AdvancedMineralComposites Description]] ""<em>Solar Panel</em> Upgrade (<em>Improved Photovoltaics</em>) - Power production increased by <percent(param1)>. Costs <res_icon('PreciousMinerals')>"""
"SolarAtmospherePenalty"	"Hi_tech_5"	"UI/Icons/Research/diffuse_light_utilization.png"	"False"	"916927280712, --[[Tech SolarAtmospherePenalty Description]] ""<em>Solar Panels</em> Upgrade (<em>Diffuse Light Utilization</em>) - Atmospheric penalty removed."""
"SolarEnergyInitiative"	"Hi_tech_5"	"UI/Icons/Research/power_of_the_sun.png"	"False"	"126867727323, --[[Tech SolarEnergyInitiative Description]] ""Produce <electronics> lifetime <em>Electronics</em>"""
"SolarStoreEnergy"	"Hi_tech_5"	"UI/Icons/Research/hybrid_solar_capacitors.png"	"True"	""
"DecommissionProtocol"	"Industry_1"	""	"True"	""
"DeepMetalExtraction"	"Industry_1"	"UI/Icons/Research/deep_metal_extraction.png"	"False"	"6461, --[[Tech DeepMetalExtraction Description]] ""Can exploit deep <em>Metal</em>, <em>Rare Metal</em> and <em>Exotic Mineral</em> deposits."""
"DronePrinting"	"Industry_1"	"UI/Icons/Research/drone_printing.png"	"False"	"6411, --[[Tech DronePrinting Description]] ""New Building: <em>Drone Assembler</em> (<buildinginfo('DroneFactory')>) - Constructs <em>Drone Prefabs</em> from <em>Electronics</em> which can then be used in <em>Drone Hubs</em> to construct new drones."""
"ExtractorAmplification"	"Industry_1"	"UI/Icons/Research/extractor_amplification.png"	"False"	"10512, --[[Tech ExtractorAmplification Description]] ""<if(is_sponsor('Roscosmos'))><em>Concrete Plant</em> & </if><em>Extractors</em> Upgrade (<em>Amplify</em>) - Increases production by <percent(param1)> but also increases <em>Power</em> consumption by <power(param2)>."""
"FactoryAmplification"	"Industry_1"	"UI/Icons/Research/factory_amplification.png"	"False"	"10513, --[[Tech FactoryAmplification Description]] ""Refineries & <em>Factories</em> Upgrade (<em>Amplify</em>) - Increases production by <percent(param1)> but also increases <em>Power</em> consumption by <power(param2)>."""
"LoadBalancingAlgorithms"	"Industry_1"	"UI/Icons/Research/load_balancing_algorithms.png"	"False"	"219855843512, --[[Tech LoadBalancingAlgorithms Description]] ""<em>Extractors</em> consume <percent(abs(power))> less <em>Power</em>."""
"ModularIndustry"	"Industry_1"	"UI/Icons/Research/modular_industry.png"	"True"	""
"PlasmaCutters"	"Industry_1"	"UI/Icons/Research/plasma_cutters.png"	"False"	"6390, --[[Tech PlasmaCutters Description]] ""<em>Rare Metals Extractor</em> production increased by <percent(param1)>."""
"ClosedLoopPolymerization"	"Industry_2"	"UI/Icons/Research/closed_loop_polymerization.png"	"False"	"803247158260, --[[Tech ClosedLoopPolymerization Description]] ""<em>Polymer Factories</em> use <percent(abs(consumption))> less <em>Water</em>."""
"DeepScanning"	"Industry_2"	"UI/Icons/Research/deep_scanning.png"	"False"	"6457, --[[Tech DeepScanning Description]] ""Sectors can now be scanned again for <em>deep deposits</em>. Exploiting these deposits requires additional technologies."""
"LowGHydrosynthsis"	"Industry_2"	"UI/Icons/Research/low-g_hydrosynthesis.png"	"False"	"6364, --[[Tech LowGHydrosynthsis Description]] ""New Building: <em>Polymer Factory</em> (<buildinginfo('PolymerPlant')>) - Produces <em>Polymers</em> from <em>Water</em> and <em>Fuel</em>.\n\nNew Building: <em>Fuel Refinery</em> (<buildinginfo('FuelFactory')>)  - Produces <em>Fuel</em> from <em>Water</em>."""
"AdaptiveExtractionProtocols"	"Industry_3"	"UI/Icons/Research/adaptive_extraction_protocols.png"	"False"	"447625093291, --[[Tech AdaptiveExtractionProtocols Description]] ""<em>Extractors</em> Upgrade (<em>Adaptive Extraction Protocols</em>) - Has a chance to produce resources without depleting the Deposit. Costs <res_icon('PreciousMinerals')>"""
"AutomatedStorage"	"Industry_3"	"UI/Icons/Research/automated_storage.png"	"False"	"8863, --[[Tech AutomatedStorage Description]] ""New Buildings: <em>Storages</em> (<buildinginfo('MechanizedDepotMetals')>) - a set of storages that can store large amount of resources but have to be constructed and require power."""
"DistributedResearchNodes"	"Industry_3"	"UI/Icons/Research/distributed_research_nodes.png"	"True"	""
"EnergyRecoverySystems"	"Industry_3"	"UI/Icons/Research/manual_control_overrides.png"	"False"	"670486899334, --[[Tech EnergyRecoverySystems Description]] ""<em>Factories</em> consume <percent(abs(param1))> less <em>Power</em>."""
"MaterialFlowOptimization"	"Industry_3"	"UI/Icons/Research/material_flow_optimization.png"	"False"	"889345812565, --[[Tech MaterialFlowOptimization Description]] ""<em>Factories</em> Upgrade (<em>Material Flow Optimization</em>) - Produces more resources. Costs <res_icon('PreciousMinerals')>"""
"PredictiveMaintenance"	"Industry_3"	"UI/Icons/Research/predictive_maintenance.png"	"False"	"410518063671, --[[Tech PredictiveMaintenance Description]] ""<em>Factory</em> Buildings Upgrade (<em>Predictive Maintenance</em>) - Maintenance cost reduced by <percent(abs(reduction))>. Costs <res_icon('PreciousMinerals')>"""
"RoverPrinting"	"Industry_3"	"UI/Icons/Research/rover_printing.png"	"False"	"6424, --[[Tech RoverPrinting Description]] ""Allows the <em>construction</em> of Rovers on Mars."""
"3DMachining"	"Industry_4"	"UI/Icons/Research/3d_machining.png"	"False"	"8640, --[[Tech 3DMachining Description]] ""New Building: <em>Machine Parts Factory</em> (<buildinginfo('MachinePartsFactory')>) - Produces <em>Machine Parts</em> from <em>Metals</em>.\n\nNew Building: <em>Small Machine Parts Factory</em> (<buildinginfo('MachinePartsFactory_Small')>) - A smaller version of the <em>Machine Parts Factory</em>."""
"DeepWaterExtraction"	"Industry_4"	"UI/Icons/Research/deep_water_extraction.png"	"False"	"6459, --[[Tech DeepWaterExtraction Description]] ""Can exploit <em>deep Water deposits</em>."""
"FueledExtractors"	"Industry_4"	"UI/Icons/Research/fueled_extractors.png"	"False"	"10515, --[[Tech FueledExtractors Description]] ""<em>Extractors</em> Upgrade (<em>Fueled Extractor</em>) - Production increased by <percent(param1)> as long as the building is supplied with <em>Fuel</em>."""
"IndustrialErgonomics"	"Industry_4"	"UI/Icons/Research/industrial_ergonomics.png"	"False"	"965176859998, --[[Tech IndustrialErgonomics Description]] ""Workers in <em>Extractors</em> and <em>Factories</em> suffer less <em>Sanity</em> loss from heavy workloads."""
"MarsNoveau"	"Industry_4"	"UI/Icons/Research/mars_nouveau.png"	"False"	"6380, --[[Tech MarsNoveau Description]] ""Building construction costs in <em>Metals & Concrete</em> reduced by <percent(param1)> (excluding Domes)."""
"ResilientArchitecture"	"Industry_4"	"UI/Icons/Research/resilient_architecture.png"	"False"	"6382, --[[Tech ResilientArchitecture Description]] ""<em>Out-Dome buildings</em> require maintenance less often."""
"ClosedLoopExtraction"	"Industry_5"	"UI/Icons/Research/closed_loop_extraction.png"	"True"	""
"ContinuousOperationProtocols"	"Industry_5"	"UI/Icons/Research/continuous_operation_protocols.png"	"False"	"592380013785, --[[Tech ContinuousOperationProtocols Description]] ""All <em>Extractors</em> gain +<percent(abs(boost))> production after running continuously for <days> Sols. Any interruption resets the timer."""
"FactoryAI"	"Industry_5"	"UI/Icons/Research/factory_ai.png"	"False"	"10516, --[[Tech FactoryAI Description]] ""Refineries & <em>Factories</em> Upgrade (<em>Factory AI</em>) - Increases production by <percent(param1)>."""
"ThermalCyclingDampeners"	"Industry_5"	"UI/Icons/Research/thermal_cycling_dampeners.png"	"False"	"488641143922, --[[Tech ThermalCyclingDampeners Description]] ""<em>Extractors</em> become immune to <em>Power</em> spikes during <em>Cold Waves</em>."""
"WasteRockLiquefaction"	"Industry_5"	"UI/Icons/Research/waste_rock_liquefaction.png"	"False"	"7671, --[[Tech WasteRockLiquefaction Description]] ""New Building: <em>Waste Rock Processor</em> (<buildinginfo('WasteRockProcessor')>) - slowly converts <em>Waste Rock</em> into <em>Concrete</em>."""
